Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-05-05,Incline Dumbbell Bench Press,Chest,8.0,kgs,10,,,
2025-05-05,Incline Dumbbell Bench Press,Chest,12.0,kgs,8,,,
2025-05-06,Seated Cable Row,Back,25.0,kgs,16,,,
2025-05-06,Seated Cable Row,Back,30.0,kgs,8,,,
2025-05-06,Seated Cable Row,Back,35.0,kgs,7,,,
2025-05-06,Machine Row (Each Side),Back,15.0,kgs,10,,,
2025-05-06,Machine Row (Each Side),Back,25.0,kgs,10,,,
2025-05-06,Machine Row (Each Side),Back,30.0,kgs,8,,,
2025-05-06,Lat Pulldown,Back,30.0,kgs,12,,,
2025-05-06,Lat Pulldown,Back,35.0,kgs,6,,,
2025-05-06,Lat Pulldown,Back,40.0,kgs,6,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,7,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,8,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,3,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,2,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,8,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,10,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,20.0,kgs,3,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,3,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
